what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1602338785200
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602338804975
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602338807854
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602338814809
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602338815713
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1602338827050
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1602338829949
opened,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1602338837016
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1602338837067
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1602338841384
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1602338847775
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1602338847777
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1602338848380
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1602338848446
closed,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1602338848446
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1602338849288
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602338884368
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602338885658
opened,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1602338890569
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1602338890609
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602338936434
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602338943044
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1602338943052
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1602338954037
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1602338954083
closed,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1602338954083
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602338955888
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602339084209
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1602339084224
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602339107933
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602339109770
opened,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1602339114564
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1602339114607
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1602339133652
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1602339135453
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602339138502
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602339139832
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1602339144485
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1602339147655
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1602339149009
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602339151955
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602339153384
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1602339156362
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1602339175280
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1602339176905
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602339178694
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602339180420
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1602339186925
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1602339197725
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1602339203363
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1602339203406
